Question,Answer
"What command creates an nginx pod?","k run nginx --image nginx"
"What are the four essential parts of a pod configuration file?","apiVersion, kind, metadata, spec"
"What command describes a pod named myapp-pod?","k describe pod myapp-pod"
"What command exposes an nginx pod on port 80 with NodePort service type?","k expose pod nginx --port 80 --type NodePort"
"What command gets pods with wide output showing more details?","k get pods -o wide"
"What command generates a redis pod YAML with dry-run?","k run redis --image=redis123 --dry-run=client -o yaml > redis.yaml"
"What is the apiVersion for replicaset?","apps/v1"
"Under which field do you define pod specification for deployment and replicaset?","spec > template"
"What field defines which pods are linked to a deployment?","selector > matchLabels"
"What command scales a replicaset to 6 replicas using a definition file?","k scale --replicas=6 -f replicaset-definition.yml"
"What command creates an nginx deployment with 3 replicas?","k create deployment nginx --image=nginx --replicas=3"
"What are the three types of Kubernetes services?","NodePort, ClusterIP, LoadBalancer"
"What is the default NodePort range in Kubernetes?","30000–32767"
"In a NodePort service, what is the port on the Pod called?","Target Port"
"In a NodePort service, what is the virtual port on the service within the cluster called?","Port"
"In a NodePort service, what is the external port on the Kubernetes node called?","NodePort"
"What command exposes a redis pod on port 6379 with dry-run output?","k expose pod redis --port=6379 --name=redis-service --dry-run=client -o yaml"
"What command edits an nginx deployment?","k edit deployment nginx"
"What command sets the image of nginx deployment to nginx:1.18?","k set image deployment nginx nginx=nginx:1.18"
"What command replaces a deployment using a YAML file?","k replace -f nginx.yaml"
"What command creates a redis pod with alpine image and tier=db label?","k run redis --image=redis:alpine --labels=""tier=db"""
"What command scales webapp deployment to 3 replicas?","k scale deployment webapp --replicas=3"
"What command creates a custom-nginx pod on port 8080?","k run custom-nginx --image=nginx --port=8080"
"What command creates an httpd pod with port 80 and exposes it?","k run httpd --image=httpd:alpine --port=80 --expose=true"
"What field is used to manually assign a pod to a node?","spec > nodeName"
"What command gets pods with selector app=App1?","k get pods --selector app=App1"
"What command counts pods with env=dev selector without headers?","k get pods --selector env=dev --no-headers | wc -l"
"What command gets all resources with multiple selectors?","k get all --selector env=prod,bu=finance,tier=frontend"
"What command taints node1 with app=blue and NoSchedule effect?","k taint nodes node1 app=blue:NoSchedule"
"What are the three taint effects in Kubernetes?","NoSchedule, PreferNoSchedule, NoExecute"
"What command checks taints on kubemaster node?","k describe node kubemaster | grep Taint"
"What command removes a taint from controlplane node?","k taint node controlplane node-role.kubernetes.io/master:NoSchedule-"
"What command labels node-1 with size=Large?","k label nodes node-1 size=Large"
"What field is used for simple node selection in pod spec?","nodeSelector"
"What are the three operators for node affinity?","In, Exists, NotIn"
"What are the two NodeAffinity types?","requiredDuringSchedulingIgnoredDuringExecution, preferredDuringSchedulingIgnoredDuringExecution"
